RetainedRef	DuplicateRef
YHR054W-A_mRNA	YHR052W-A_mRNA
YER190C-B_mRNA	YPR204C-A_mRNA
YER190C-B_mRNA	YPL283W-B_mRNA
YER190C-B_mRNA	YGR296C-B_mRNA
YLR161W_mRNA	YLR159W_mRNA
YLR161W_mRNA	YLR156W_mRNA
YIL171W-A_mRNA	YJL220W_mRNA
YJL225W-A_mRNA	YIL177W-A_mRNA
YOR396C-A_mRNA	YLR466C-A_mRNA
YOR396C-A_mRNA	YLR467C-A_mRNA
YHR212C_mRNA	YAR060C_mRNA
YPL281C_mRNA	YOR393W_mRNA
YIL172C_mRNA	YJL221C_mRNA
YHR053C_mRNA	YHR055C_mRNA
YLR156C-A_mRNA	YLR157C-C_mRNA
YLR156C-A_mRNA	YLR154C-H_mRNA
YLR156C-A_mRNA	YLR159C-A_mRNA
YOR396W_mRNA	YLR467W_mRNA
YOR396W_mRNA	YDR545W_mRNA
YJL222W-A_mRNA	YIL174W
YLR160C_mRNA	YLR157C_mRNA
YLR160C_mRNA	YLR155C_mRNA
YLR160C_mRNA	YLR158C_mRNA
YNL339W-B_mRNA	YML133W-B_mRNA
YNL339W-B_mRNA	YHR219C-A_mRNA
YCL066W_mRNA	YCR040W_mRNA
YPL283W-A_mRNA	YNL339W-A_mRNA
YPL283W-A_mRNA	YGR296C-A_mRNA
YPL283W-A_mRNA	YML133W-A_mRNA
YPL283W-A_mRNA	YER190C-A_mRNA
YLL064C_mRNA	YNR076W_mRNA
YLR464W_mRNA	YEL076C-A_mRNA
YBR302C_mRNA	YML132W_mRNA
YPL283C_mRNA	YGR296W_mRNA
YAR069C_mRNA	YHR214C-D_mRNA
YPL282C_mRNA	YOR394W_mRNA
YLL067W-A_mRNA	YLL066W-A_mRNA
YLL067W-A_mRNA	YFL068W_mRNA
YCL067C_mRNA	YCR039C_mRNA
YHR218W-A_mRNA	YBL112C_mRNA
YIL176C_mRNA	YJL223C_mRNA
